,Estacion,R2,R2adj,Pearson
0,8015021,0.8124921791953479,0.8124477631657847,0.9035001230378685
0,8019043,0.9039478792058813,0.9039251268011096,0.9516082981016327
0,8019044,0.9237256355896333,0.9237075680529832,0.9614031521247499
0,8019050,0.7820510365849396,0.7819994097911303,0.8866653581525864
0,8019054,0.9253241690819777,0.9253064801989248,0.9622992775476062
0,8019057,0.9080249288064598,0.9080031421553021,0.9534095720320882
0,8019058,0.8406315279353666,0.8405937774312207,0.9180111692443989
0,8089005,0.8702315737959867,0.8702008348207807,0.9340565106774366
0,8125002,0.9223480180525039,0.9223296241918584,0.9605947196993961
0,8169009,0.9353898117139156,0.9353745071361081,0.9672884248713691
0,8194008,0.8651656190375316,0.8651336800611985,0.9310856477511421
0,8205002,0.9137659798697509,0.9137455531335699,0.9560730877083238
0,8263001,0.9373709180634217,0.9373560827613907,0.9682347199290742
0,8301004,0.8921753310821889,0.8921497900478911,0.9453491698578451
